iter	RMSE
0	0.4624682889
1	0.453575371
2	0.4440418006
3	0.4368666657
4	0.4306626156
5	0.4262737244
6	0.422637909
7	0.4177610462
8	0.4123425969
9	0.408943524
10	0.4046394824
11	0.4010321423
12	0.3980995142
13	0.395978059
14	0.3939125148
15	0.3923101683
16	0.3899867185
17	0.3884436503
18	0.3864640874
19	0.3853635391
20	0.3835385069
21	0.382297364
22	0.3809634994
23	0.3795051649
24	0.3782528918
25	0.3771144081
26	0.3766606991
27	0.3754288268
28	0.3737717289
29	0.3732903876
30	0.3726685689
31	0.3717246062
32	0.3709651614
33	0.370244803
34	0.369122818
35	0.3688558543
36	0.3682349802
37	0.3677353581
38	0.3668863455
39	0.36610441
40	0.3654422659
41	0.3649463696
42	0.3641855584
43	0.3639117686
44	0.3635826017
45	0.3632298524
46	0.3624692227
47	0.3619408864
48	0.3613865693
49	0.36065162
